Number,Date,Sub-Channels,Comments,Sentiment,Sentan
389,15/02/2024,Certificate of Loss,Vry Good,Happy,4
390,15/02/2024,night work permit,Good,Happy,4
391,15/02/2024,Police Clearance Certificate,Thank you,Happy,5
392,15/02/2024,Police Clearance Certificate,Good,Happy,4
393,15/02/2024,Certificate of To Whom It May Concern,Excellent,Happy,5
394,15/02/2024,Certificate of To Whom It May Concern,Mr Adel Abdula Hussein AHEAD At Bar Dubai Police Station Was Vry Helpful and Coopeature in Filling My Claim,Happy,5
395,15/02/2024,Certificate of To Whom It May Concern,Thank you Dubai Police for the Support During the Flood and Heavy Rain,Happy,5
396,15/02/2024,Certificate of To Whom It May Concern,Fast,Happy,5
397,15/02/2024,Police Clearance Certificate,Thanks,Happy,5
398,15/02/2024,night work permit,Good and Convinient,Happy,4
399,15/02/2024,Certificate of To Whom It May Concern,I love dubai police. Salute,Happy,5
400,15/02/2024,Certificate of Loss,Vry Good Facility,Happy,4
401,15/02/2024,Police Clearance Certificate,Easiest Online Service Which Can Save a Lot of Time.,Happy,5
402,15/02/2024,Police Clearance Certificate,Fast and Easy Service,Happy,5
403,15/02/2024,Certificate of To Whom It May Concern,I en,Happy,4
404,15/02/2024,Certificate of To Whom It May Concern,Vry Good,Happy,4
405,15/02/2024,Certificate of To Whom It May Concern,Thank you all,Happy,5
406,15/02/2024,Certificate of To Whom It May Concern,Thank you,Happy,5
407,15/02/2024,Certificate of Loss,Excellent,Happy,5
408,15/02/2024,Certificate of To Whom It May Concern,Vry Good Service.,Happy,4
409,15/02/2024,Police Clearance Certificate,Fast and easy to use,Happy,5
410,15/02/2024,detainee visit request,Ok,Happy,3
411,15/02/2024,Certificate of To Whom It May Concern,Keep up,Happy,1
412,15/02/2024,Traffic clearance certificate,Wonderful service,Happy,5
413,15/02/2024,Police Clearance Certificate,"It was useful and easy to use Specially on my situation, cause i M Outside of the Country",Happy,4
414,15/02/2024,Certificate of To Whom It May Concern,Was everyy to use,Happy,5
415,15/02/2024,Police Clearance Certificate,IM Happy to Response Quikly,Happy,5
416,15/02/2024,Traffic Accident Report-  without Injuries,Thanks,Happy,5
417,15/02/2024,Police Clearance Certificate,Thank you for your fest support and response always,Happy,5
418,15/02/2024,detainee visit request,Good Job,Happy,4
419,15/02/2024,Police Clearance Certificate,Great Service,Happy,5
420,15/02/2024,Certificate of To Whom It May Concern,Vry Good,Happy,4
421,15/02/2024,Certificate of Loss,Excellent Service,Happy,5
422,15/02/2024,Certificate of To Whom It May Concern,"Thank you, the Emirates government, for your efforts",Happy,5
423,15/02/2024,Certificate of To Whom It May Concern,All is good,Happy,5
424,15/02/2024,Detainee Visit,Provide Proper Guidness,Happy,4
425,15/02/2024,Police Clearance Certificate,Good,Happy,4
426,15/02/2024,Certificate of To Whom It May Concern,Easy Access & Very Convenient. Client Oriented. CongraTulactions.,Happy,5
427,14/02/2024,Certificate of To Whom It May Concern,Thanks a lot police of dubai,Happy,5
428,14/02/2024,Police Clearance Certificate,Distinguished service,Happy,5
429,14/02/2024,Police Clearance Certificate,You reacable!,Happy,5
430,14/02/2024,Police Clearance Certificate,Good Goovernment Policy,Happy,4
431,14/02/2024,Police Clearance Certificate,Thank you!,Happy,5
432,14/02/2024,Police Clearance Certificate,Thank you,Happy,5
433,14/02/2024,Police Clearance Certificate,Thanks,Happy,5
434,14/02/2024,Certificate of To Whom It May Concern,Thank you very much for Wonderful Experience,Happy,5
435,14/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
436,14/02/2024,Police Clearance Certificate,I Still,Happy,5
437,14/02/2024,Certificate of Loss,Its Nice to Experience that,Happy,4
438,14/02/2024,Certificate of To Whom It May Concern,Good Service and Save the Valuable Time,Happy,5
439,14/02/2024,Police Clearance Certificate,Good,Happy,4
440,14/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
441,14/02/2024,Certificate of To Whom It May Concern,Vry Good,Happy,4
442,14/02/2024,Certificate of To Whom It May Concern,Fast Resporese,Happy,4
443,14/02/2024,Certificate of To Whom It May Concern,Thanks for the good deal,Happy,5
444,14/02/2024,Police Clearance Certificate,We Need it iMMIDIOTELY PLS SENT SEDDEN,Neutral,5
445,14/02/2024,Police Clearance Certificate,Waiting for Speedy Result,Happy,3
446,14/02/2024,Police Clearance Certificate,Thank you,Happy,5
447,14/02/2024,Police Clearance Certificate,Good Service,Happy,4
448,14/02/2024,Police Clearance Certificate,Thanks,Happy,5
449,14/02/2024,Police Clearance Certificate,"Best Service Save the time, but it count be better if fee lesser then this. Thankyou",Happy,4
450,14/02/2024,Police Clearance Certificate,Keep it up,Happy,4
451,14/02/2024,Certificate of Loss,Good Services,Happy,4
452,14/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
453,14/02/2024,Certificate of To Whom It May Concern,For everything we need to pay,Unhappy,5
454,14/02/2024,night work permit,Happy,Happy,5
455,14/02/2024,Certificate of To Whom It May Concern,Hi,Happy,5
456,14/02/2024,night work permit,A Little Bit Delay. But Still Good,Happy,4
457,14/02/2024,Police Clearance Certificate,Smooth Application Process. I hop i will receive,Happy,5
458,14/02/2024,Police Clearance Certificate,Good,Happy,4
459,14/02/2024,Certificate of To Whom It May Concern,Hi,Happy,5
460,14/02/2024,night work permit,GRT,Happy,5
461,14/02/2024,Certificate of To Whom It May Concern,excellent,Happy,5
462,14/02/2024,Certificate of Loss,Good,Happy,4
463,14/02/2024,Traffic Accident Report - Unkown Party,Quick Response,Happy,5
464,14/02/2024,Police Clearance Certificate,Easy Operation,Happy,5
465,14/02/2024,Traffic Accident Report-  without Injuries,Good,Happy,4
466,14/02/2024,Certificate of Loss,The Website Was Easy to Navigate.,Happy,4
467,14/02/2024,Police Clearance Certificate,Payment failed with no reasons.,Unhappy,1
468,14/02/2024,Police Clearance Certificate,Thanks,Unhappy,5
469,14/02/2024,Traffic Accident Report-  without Injuries,Thank you,Happy,5
470,14/02/2024,Police Clearance Certificate,Tank you for your Co Operation,Happy,5
471,14/02/2024,Traffic clearance certificate,Thank you,Happy,5
472,14/02/2024,night work permit,Easy Access,Happy,5
473,14/02/2024,Certificate of Loss,Good,Happy,4
474,14/02/2024,night work permit,Good,Happy,4
475,14/02/2024,night work permit,Friendlyuser,Happy,4
476,14/02/2024,Police Clearance Certificate,Thank you,Happy,5
477,14/02/2024,Police Clearance Certificate,Vry Good and Fast,Happy,5
478,14/02/2024,Police Clearance Certificate,Thanks,Happy,5
479,14/02/2024,Police Clearance Certificate,It was User Friendly,Happy,4
480,14/02/2024,Certificate of Loss,Yes,Happy,5
481,14/02/2024,night work permit,"The System Was UTERY SLOW, I TOOK Almost 3 Hours to Complete One Appaluation",Neutral,2
482,14/02/2024,Certificate of Loss,All services are perfect,Happy,5
483,14/02/2024,Certificate of To Whom It May Concern,Think Alot ... Keep up the Innovative Excellence,Happy,5
484,14/02/2024,Certificate of Loss,Keep it up,Happy,4
485,14/02/2024,Police Clearance Certificate,Good,Happy,4
486,14/02/2024,Police Clearance Certificate,Happy,Happy,5
487,14/02/2024,Traffic Accident Report - Unkown Party,It s good system,Happy,4
488,14/02/2024,Police Clearance Certificate,Vry Good Services,Happy,4
489,14/02/2024,Police Clearance Certificate,Happy,Happy,5
490,14/02/2024,Police Clearance Certificate,Vry Good Services,Happy,4
491,14/02/2024,Certificate of Loss,G,Happy,5
492,14/02/2024,night work permit,Nice,Happy,4
493,14/02/2024,Police Clearance Certificate,Takes Too Much Time and Expective,Neutral,2
494,14/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
495,14/02/2024,detainee visit request,Reply Properly,Happy,5
496,14/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
497,14/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
498,14/02/2024,Certificate of Loss,No Comment,Happy,1
499,14/02/2024,Certificate of To Whom It May Concern,Good Service,Happy,4
500,14/02/2024,Certificate of To Whom It May Concern,Vry Good Service,Happy,4
501,14/02/2024,Certificate of Loss,I am so locky to be in uae,Happy,1
502,14/02/2024,Police Clearance Certificate,Easy,Happy,5
503,14/02/2024,Police Clearance Certificate,Good Service,Happy,4
504,14/02/2024,Certificate of Loss,Excellence Services,Happy,5
505,14/02/2024,Police Clearance Certificate,Amazing Online Service,Happy,5
506,14/02/2024,Certificate of To Whom It May Concern,Good Service,Happy,4
507,14/02/2024,Certificate of To Whom It May Concern,Not posible to Pay,Neutral,1
508,14/02/2024,Certificate of To Whom It May Concern,Thank you all,Happy,5
509,14/02/2024,Certificate of Loss,ok,Happy,3
510,14/02/2024,Certificate of Loss,Good Service,Happy,4
511,14/02/2024,Certificate of To Whom It May Concern,Easy and User Friendly,Happy,5
512,14/02/2024,Certificate of To Whom It May Concern,Thank you so much,Happy,5
513,14/02/2024,Certificate of To Whom It May Concern,Thank you so much,Happy,5
514,14/02/2024,Police Clearance Certificate,Thanks,Happy,5
515,14/02/2024,Traffic Accident Report-  without Injuries,Good,Happy,4
516,14/02/2024,Certificate of Loss,Excellent,Unhappy,5
517,14/02/2024,Police Clearance Certificate,Good,Happy,4
518,14/02/2024,Police Clearance Certificate,Excellent,Happy,5
519,14/02/2024,detainee visit request,Thanks,Happy,5
520,14/02/2024,Police Clearance Certificate,Happy,Happy,5
521,14/02/2024,Certificate of To Whom It May Concern,Thanks Dubai,Happy,5
522,14/02/2024,Police Clearance Certificate,It was an Awesome Experience and Easy to us,Happy,5
523,14/02/2024,Certificate of To Whom It May Concern,Well Done !!!! Thank you,Happy,5
524,14/02/2024,Certificate of Loss,Good Service,Happy,4
525,14/02/2024,Traffic Accident Report-  without Injuries,Perfect,Happy,5
526,14/02/2024,Certificate of To Whom It May Concern,All good,Happy,5
527,14/02/2024,Police Clearance Certificate,Thanks,Happy,5
528,14/02/2024,Certificate of To Whom It May Concern,It is good,Happy,4
529,14/02/2024,Certificate of To Whom It May Concern,Thank you all,Happy,5
530,14/02/2024,Certificate of Loss,None,Happy,1
531,14/02/2024,Police Clearance Certificate,.,Happy,3
532,14/02/2024,Certificate of Loss,Good,Happy,4
533,14/02/2024,Police Clearance Certificate,excellent,Happy,5
534,14/02/2024,Certificate of Loss,Good,Happy,4
535,14/02/2024,Police Clearance Certificate,Excellent Service,Happy,5
536,14/02/2024,Certificate of To Whom It May Concern,Good Service,Happy,4
537,14/02/2024,Police Clearance Certificate,The Website is very information and details are self exploration,Happy,4
538,14/02/2024,Certificate of To Whom It May Concern,Vry Good Service,Happy,4
539,14/02/2024,Police Clearance Certificate,Its easy process,Happy,4
540,14/02/2024,Certificate of Loss,The Service is Based on Smart Idea,Happy,4
541,14/02/2024,Certificate of To Whom It May Concern,A mistake on the site has been paid and this is a wrong certificate,Unhappy,1
542,14/02/2024,Certificate of To Whom It May Concern,I countn t.,Unhappy,1
543,14/02/2024,Certificate of To Whom It May Concern,Nice,Happy,4
544,14/02/2024,Certificate of To Whom It May Concern,Happy,Happy,5
545,14/02/2024,night work permit,Goood,Happy,3
546,14/02/2024,Certificate of Loss,Na,Happy,3
547,14/02/2024,Certificate of To Whom It May Concern,Thnx,Happy,5
548,14/02/2024,Certificate of To Whom It May Concern,Excellent,Happy,5
549,14/02/2024,night work permit,Excellent Service,Happy,5
550,14/02/2024,Certificate of To Whom It May Concern,Good Job,Happy,4
551,14/02/2024,Certificate of To Whom It May Concern,Best,Happy,5
552,14/02/2024,Police Clearance Certificate,All Good and Fast,Happy,5
553,14/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
554,14/02/2024,Certificate of To Whom It May Concern,Easy,Happy,5
555,14/02/2024,night work permit,Happy With The Service,Happy,5
556,14/02/2024,Certificate of Loss,Easy procedures,Happy,5
557,14/02/2024,Police Clearance Certificate,Verre Easy and Modern Service,Happy,5
558,14/02/2024,Certificate of Loss,Verre Easy and Fast,Happy,5
559,14/02/2024,Certificate of To Whom It May Concern,Using Friendly and Easy Access,Happy,5
560,14/02/2024,Certificate of Loss,Thank you dubai government,Happy,5
561,14/02/2024,night work permit,Verry Easy and Good Service,Happy,5
562,14/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
563,14/02/2024,Certificate of To Whom It May Concern,Good Service,Happy,4
564,14/02/2024,Certificate of To Whom It May Concern,I like to apply the report,Happy,4
565,14/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
566,14/02/2024,Certificate of To Whom It May Concern,I Finally I Got it a Day after and online is,Neutral,5
567,14/02/2024,Certificate of To Whom It May Concern,Ok,Happy,3
568,14/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
569,14/02/2024,Police Clearance Certificate,Excellent Service,Happy,5
570,14/02/2024,Certificate of To Whom It May Concern,Good Service,Happy,4
571,14/02/2024,Certificate of To Whom It May Concern,excellent,Happy,5
572,14/02/2024,Certificate of To Whom It May Concern,Good series,Happy,4
573,14/02/2024,Traffic Accident Report-  without Injuries,Thank you,Happy,5
574,14/02/2024,Police Clearance Certificate,More thanks,Happy,5
575,14/02/2024,Traffic Accident Report-  without Injuries,Excellent,Happy,5
576,14/02/2024,Certificate of To Whom It May Concern,"It s a great system, but unifturately I KEPT Getting An Administrator Error, Probably Due to the High Volume of Requests. IT TOK Me at Last 25 attbss and every time",Unhappy,3
577,14/02/2024,Certificate of To Whom It May Concern,Thanks Dubai Police,Happy,5
578,14/02/2024,Certificate of To Whom It May Concern,Happy,Happy,5
579,14/02/2024,Police Clearance Certificate,Vry Good,Happy,4
580,14/02/2024,Certificate of To Whom It May Concern,Good,Neutral,4
581,14/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
582,14/02/2024,Certificate of To Whom It May Concern,OK G,Happy,3
583,14/02/2024,Certificate of To Whom It May Concern,Great and Convenient Service. I had some issues getting Saves Me A Trip to Police Station When I Have no Car Access,Happy,4
584,14/02/2024,Certificate of To Whom It May Concern,Good,Neutral,4
585,14/02/2024,Police Clearance Certificate,Thank you,Happy,5
586,14/02/2024,Traffic Accident Report-  without Injuries,Thank U,Happy,5
587,14/02/2024,Police Clearance Certificate,"Its very fast, Essay and very good",Happy,5
588,14/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
589,14/02/2024,Police Clearance Certificate,Good One,Happy,4
590,14/02/2024,Certificate of Loss,Vry Good,Happy,4
591,14/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
592,14/02/2024,Certificate of Loss,Thinks LOT,Happy,4
593,14/02/2024,Certificate of To Whom It May Concern,Nice,Neutral,4
594,14/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
595,13/02/2024,Certificate of To Whom It May Concern,Nice,Happy,4
596,13/02/2024,Police Clearance Certificate,-,Happy,4
597,13/02/2024,Certificate of To Whom It May Concern,It s really usful Thanks,Happy,5
598,13/02/2024,Police Clearance Certificate,Excellent Most Convenient Service,Happy,5
599,13/02/2024,Certificate of To Whom It May Concern,Happy,Happy,5
600,13/02/2024,Police Clearance Certificate,Quick & Easy Transaction,Happy,5
601,13/02/2024,Certificate of To Whom It May Concern,It was a very good examination,Happy,4
602,13/02/2024,Certificate of To Whom It May Concern,So Helpfl,Happy,5
603,13/02/2024,Traffic Accident Report - Unkown Party,Thinks for the Easy and Fast Service,Happy,4
604,13/02/2024,Certificate of To Whom It May Concern,Awesome,Happy,5
605,13/02/2024,Police Clearance Certificate,Thank you for your service,Happy,5
606,13/02/2024,Certificate of To Whom It May Concern,ITS Easy to Access App.,Happy,5
607,13/02/2024,Certificate of Loss,Good,Happy,4
608,13/02/2024,Police Clearance Certificate,Great,Happy,5
609,13/02/2024,Traffic Accident Report - Unkown Party,I haad an Isue with the OTP I had been trying for hours to get the code and it wouldn t sind,Neutral,1
610,13/02/2024,night work permit,System Is Loging,Neutral,4
611,13/02/2024,Certificate of To Whom It May Concern,This is God Aap,Happy,5
612,13/02/2024,Certificate of To Whom It May Concern,Good Service,Happy,4
613,13/02/2024,Certificate of To Whom It May Concern,Excellent,Neutral,5
614,13/02/2024,Certificate of To Whom It May Concern,Thank you for your distinguished services,Happy,5
615,13/02/2024,Certificate of To Whom It May Concern,Well done,Happy,5
616,13/02/2024,Police Clearance Certificate,ok,Happy,3
617,13/02/2024,Certificate of To Whom It May Concern,I love the service,Happy,5
618,13/02/2024,detainee visit request,Easy Submit,Happy,5
619,13/02/2024,Certificate of To Whom It May Concern,Good Service,Happy,4
620,13/02/2024,Certificate of To Whom It May Concern,Helpful Staff on Customer Service Team.,Happy,5
621,13/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
622,13/02/2024,Certificate of To Whom It May Concern,Its good service,Happy,4
623,13/02/2024,Traffic Accident Report-  without Injuries,Easy to Operate,Happy,5
624,13/02/2024,Certificate of To Whom It May Concern,Vry Helpful,Happy,5
625,13/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
626,13/02/2024,Certificate of To Whom It May Concern,Good to us,Happy,4
627,13/02/2024,Police Clearance Certificate,"Need Clarify Application Form Better.
Only by Chance it Came Up. Is it a delay?",Happy,2
628,13/02/2024,Police Clearance Certificate,Thank you all,Happy,5
629,13/02/2024,Police Clearance Certificate,ok,Happy,3
630,13/02/2024,Certificate of To Whom It May Concern,All Ways Well,Happy,5
631,13/02/2024,Certificate of To Whom It May Concern,Excellent,Neutral,5
632,13/02/2024,Police Clearance Certificate,Thanks,Happy,5
633,13/02/2024,Certificate of To Whom It May Concern,I countn t. Finally it works,Neutral,5
634,13/02/2024,Traffic Accident Report-  without Injuries,Thank you,Happy,5
635,13/02/2024,Certificate of To Whom It May Concern,Good Features,Happy,4
636,13/02/2024,Police Clearance Certificate,Satisfy,Happy,4
637,13/02/2024,Certificate of Loss,No hassle Going to police station,Happy,5
638,13/02/2024,Certificate of To Whom It May Concern,"I could Not Complete The Process on My Mobile. After 5 failed attempts, I had to do so on a compute.",Neutral,2
639,13/02/2024,Certificate of Loss,Vry Good Friendly,Happy,4
640,13/02/2024,Certificate of To Whom It May Concern,Done Good,Happy,4
641,13/02/2024,Police Clearance Certificate,Thanks,Happy,5
642,13/02/2024,Certificate of To Whom It May Concern,Dubai Police is awesome as Always,Happy,5
643,13/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
644,13/02/2024,Certificate of To Whom It May Concern,DHDJD,Happy,3
645,13/02/2024,Certificate of Loss,Thanks,Happy,5
646,13/02/2024,Police Clearance Certificate,Excellent Dubai Police,Happy,5
647,13/02/2024,Police Clearance Certificate,ThX,Neutral,5
648,13/02/2024,Certificate of To Whom It May Concern,Paid,Unhappy,5
649,13/02/2024,Police Clearance Certificate,Thank you so much.,Neutral,5
650,13/02/2024,Certificate of Loss,Happy,Happy,5
651,13/02/2024,Detainee Visit,Good,Happy,4
652,13/02/2024,Certificate of To Whom It May Concern,V nice,Happy,5
653,13/02/2024,Certificate of Loss,It was informative and easy to use,Happy,4
654,13/02/2024,night work permit,Good,Happy,4
655,13/02/2024,Certificate of To Whom It May Concern,It was very easy to accurate. Thanks,Happy,5
656,13/02/2024,Traffic Accident Report - Unkown Party,Thanks,Happy,5
657,13/02/2024,Certificate of To Whom It May Concern,Finding Location Manually Is Very Difficult,Unhappy,2
658,13/02/2024,night work permit,Good,Happy,4
659,13/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
660,13/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
661,13/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
662,13/02/2024,Bounced Cheque Report,Ok,Happy,3
663,13/02/2024,detainee visit request,Dubai Police Always Great,Happy,5
664,13/02/2024,Certificate of To Whom It May Concern,Good Services Thanks,Happy,5
665,13/02/2024,Certificate of To Whom It May Concern,It was an easy experience,Happy,4
666,13/02/2024,Police Clearance Certificate,Thanks,Happy,5
667,13/02/2024,Police Clearance Certificate,Good,Happy,4
668,13/02/2024,Certificate of To Whom It May Concern,Great Service,Happy,5
669,13/02/2024,Police Clearance Certificate,"At the Payment page, please provide the Option to review the detail which has been filled to verify. Thank you.",Neutral,5
670,13/02/2024,Certificate of To Whom It May Concern,Please Give Me Report As Soon As Possible,Happy,3
671,13/02/2024,Certificate of To Whom It May Concern,Thanks Dubai Police,Happy,5
672,13/02/2024,Police Clearance Certificate,Excellent Services AS Ussual,Happy,5
673,13/02/2024,Certificate of To Whom It May Concern,Thank you very much,Happy,5
674,13/02/2024,Police Clearance Certificate,Easy to apply,Happy,5
675,13/02/2024,Certificate of Loss,Please accelerate the issuance of a certificate of loss,Happy,1
676,13/02/2024,detainee visit request,Good,Happy,4
677,13/02/2024,Certificate of To Whom It May Concern,Payment,Neutral,4
678,13/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
679,13/02/2024,Certificate of To Whom It May Concern,App Consently Didn T Work ... No Police to Come to Incident Site ...,Unhappy,1
680,13/02/2024,Certificate of To Whom It May Concern,I,Neutral,5
681,13/02/2024,Certificate of Loss,Good,Happy,4
682,13/02/2024,Certificate of To Whom It May Concern,Nice,Happy,4
683,13/02/2024,Certificate of To Whom It May Concern,Good Experience,Happy,4
684,13/02/2024,Police Clearance Certificate,Good Service. And please monate How Many Day it will Take?!,Happy,4
685,13/02/2024,Certificate of To Whom It May Concern,After,Happy,3
686,13/02/2024,Certificate of Loss,Thank you,Happy,5
687,13/02/2024,Certificate of Loss,HSPP,Happy,5
688,13/02/2024,Traffic Accident Report-  without Injuries,Satisfied,Happy,4
689,13/02/2024,Certificate of To Whom It May Concern,Good Job Very Nice,Happy,5
690,13/02/2024,Certificate of To Whom It May Concern,Ease to get access,Happy,4
691,13/02/2024,Traffic Accident Report-  without Injuries,App is not User Friendly,Unhappy,1
692,13/02/2024,Certificate of To Whom It May Concern,All good,Happy,5
693,13/02/2024,Certificate of Loss,Nice Service,Happy,4
694,13/02/2024,night work permit,Happy,Happy,5
695,13/02/2024,night work permit,Friendly user,Happy,4
696,13/02/2024,Certificate of To Whom It May Concern,Easy Access and Clear Information,Happy,5
697,13/02/2024,Certificate of Loss,Gh,Happy,3
698,13/02/2024,Police Clearance Certificate,excellent,Happy,5
699,13/02/2024,Certificate of To Whom It May Concern,Nice Sarvies Help Staff,Happy,4
700,13/02/2024,Police Clearance Certificate,Great Service,Happy,5
701,13/02/2024,Certificate of To Whom It May Concern,"I have a probem when applying twimc center, Call The Call Center and They Are IMMEDITELY GIVING US A Solution and It Worked Perfectly.",Happy,5
702,13/02/2024,Police Clearance Certificate,Great,Happy,5
703,13/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
704,13/02/2024,Certificate of Loss,Good Fast Service,Happy,4
705,13/02/2024,Police Clearance Certificate,Vry Good,Happy,4
706,13/02/2024,Certificate of To Whom It May Concern,Thank you so much.,Happy,5
707,13/02/2024,Certificate of To Whom It May Concern,Vry Nice,Happy,4
708,13/02/2024,Certificate of To Whom It May Concern,Dubai is the Best City in the World. Digitally Advanced!,Happy,5
709,13/02/2024,Certificate of To Whom It May Concern,Good Service for Public in Such Situations,Happy,4
710,13/02/2024,Police Clearance Certificate,Great Service,Happy,5
711,13/02/2024,Certificate of To Whom It May Concern,Vry Helpful and Time Saver.,Happy,5
712,13/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
713,13/02/2024,night work permit,Good,Happy,4
714,13/02/2024,Certificate of Loss,Good,Happy,4
715,13/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
716,13/02/2024,Certificate of To Whom It May Concern,Good Service,Happy,4
717,13/02/2024,Certificate of To Whom It May Concern,Love You Dubai Police,Happy,5
718,13/02/2024,Certificate of Loss,Thanks for the fast operations,Happy,5
719,13/02/2024,Certificate of To Whom It May Concern,Thinks for Kind Support,Happy,4
720,13/02/2024,Certificate of To Whom It May Concern,Good Service,Happy,4
721,13/02/2024,Bounced Cheque Report,Excellent service I wish you more progress,Happy,5
722,13/02/2024,Certificate of To Whom It May Concern,Thank you,Happy,5
723,13/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
724,13/02/2024,Certificate of To Whom It May Concern,Easy Access,Happy,5
725,13/02/2024,Certificate of To Whom It May Concern,Excellent,Happy,5
726,13/02/2024,Certificate of To Whom It May Concern,Dubai Police is the best in the world,Happy,5
727,13/02/2024,Certificate of To Whom It May Concern,Vry Helpful App,Happy,5
728,13/02/2024,Police Clearance Certificate,Good,Happy,4
729,13/02/2024,Certificate of Loss,Fast,Happy,5
730,13/02/2024,Certificate of Loss,Best,Happy,5
731,13/02/2024,Certificate of Loss,Thinks for the Support,Happy,4
732,13/02/2024,Certificate of To Whom It May Concern,Vry Fadtandquick,Happy,1
733,13/02/2024,Certificate of To Whom It May Concern,Dubai Police Zenda Bad,Happy,1
734,13/02/2024,Certificate of Loss,Vry Good,Happy,4
735,13/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
736,13/02/2024,Certificate of To Whom It May Concern,Gratefully,Happy,5
737,13/02/2024,night work permit,Good,Happy,4
738,13/02/2024,Traffic Accident Report-  without Injuries,Good Experience,Happy,4
739,13/02/2024,Certificate of To Whom It May Concern,Overall Excellent Services,Happy,5
740,13/02/2024,Certificate of To Whom It May Concern,HJ,Happy,5
741,13/02/2024,Certificate of Loss,Good Service,Happy,4
742,13/02/2024,Certificate of Loss,Good,Happy,4
743,13/02/2024,Certificate of To Whom It May Concern,This is the second time that I request a certificate,Unhappy,1
744,13/02/2024,Police Clearance Certificate,Great,Happy,5
745,13/02/2024,Certificate of To Whom It May Concern,I M Very Impressed Very Easy for everyone,Happy,5
746,13/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
747,13/02/2024,Certificate of To Whom It May Concern,.,Happy,3
748,13/02/2024,Police Clearance Certificate,"Happy With The Service, Vry Convenience.",Happy,5
749,13/02/2024,Certificate of To Whom It May Concern,Thank you,Happy,5
750,13/02/2024,Police Clearance Certificate,I am Happy With The Services and Assistance Provided.,Happy,5
751,13/02/2024,Certificate of To Whom It May Concern,Thank you for helping me in my defficult Time.,Happy,5
752,13/02/2024,Police Clearance Certificate,Excellent Service,Happy,5
753,13/02/2024,Certificate of To Whom It May Concern,Thank you Dubai Police,Happy,5
754,13/02/2024,Certificate of To Whom It May Concern,Good Service,Happy,4
755,13/02/2024,Certificate of Loss,Nice,Happy,4
756,13/02/2024,night work permit,Vry Good Online Portal,Happy,4
757,13/02/2024,Certificate of To Whom It May Concern,Excellent Service and Easy to Use.,Happy,5
758,13/02/2024,Police Clearance Certificate,Thank you,Neutral,5
759,13/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
760,13/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
761,13/02/2024,Certificate of To Whom It May Concern,I try 3 times on the website from my laptop and it said there was an atrror and asked me to restart. Finally I Was Able to Do it only from My Phone Throw The App,Neutral,1
762,13/02/2024,Certificate of To Whom It May Concern,Thanks Dubai Police,Happy,5
763,13/02/2024,Police Clearance Certificate,The Online Service is Expedient and Vry Efficience.,Happy,5
764,13/02/2024,Certificate of To Whom It May Concern,Easy to use and creatar,Happy,5
765,13/02/2024,Certificate of To Whom It May Concern,Thank you Dubai Police,Happy,5
766,13/02/2024,Certificate of To Whom It May Concern,Thnks,Happy,3
767,13/02/2024,Certificate of To Whom It May Concern,Great,Happy,5
768,13/02/2024,Certificate of To Whom It May Concern,Ease of use.,Happy,4
769,13/02/2024,Police Clearance Certificate,Good,Happy,4
770,13/02/2024,Certificate of To Whom It May Concern,Why Take Money,Neutral,1
771,13/02/2024,Certificate of To Whom It May Concern,No 1 Police in the World,Happy,1
772,13/02/2024,Certificate of Loss,Thanks,Happy,5
773,13/02/2024,Certificate of To Whom It May Concern,"I am proud that I reside in the United Arab Emirates Thank you very much for your good efforts",Happy,5
774,13/02/2024,Police Clearance Certificate,Better Service Think You Dxb,Happy,3
775,13/02/2024,Certificate of Loss,.,Happy,3
